gen_id,bus,Sn_MVA,H_s,D_pu,R_s,X_d,X_q,X_d_prime,X_q_prime,X_d_pp,X_q_pp,T_d0_prime,T_q0_prime,T_d0_pp,T_q0_pp,X_l,S_10,S_12,avr_Ka,avr_Ta,avr_Tb,gov_R,gov_T1,gov_T2,gov_T3,gov_Dt
G12,26,510.5263157894736,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G13,27,315.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G14,31,17.894736842105264,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G15,32,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G16,34,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G17,36,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G18,40,315.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G19,42,315.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G20,46,21.05263157894737,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G21,49,234.7368421052632,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G22,54,55.78947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G23,55,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G24,56,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G25,59,324.2105263157895,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G26,61,205.26315789473685,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G27,62,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G28,65,464.2105263157895,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G29a,66,412.6315789473685,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G29b,66,412.6315789473685,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G30a,69,622.1052631578948,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G30b,69,622.1052631578948,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G31,70,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G32,72,105.26315789473685,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G33,73,105.26315789473685,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G34,74,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G35,76,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G36,77,73.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G37,80,535.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G38,85,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G39,87,10.526315789473683,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G40a,89,335.2631578947369,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G40b,89,335.2631578947369,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G41,90,315.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G42,91,105.26315789473685,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G43,92,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G44,99,105.26315789473685,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G45a,100,343.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G45b,100,343.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G46,103,113.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G47,104,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G48,105,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G49,107,210.5263157894737,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G50,110,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G51,111,83.15789473684211,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G52,112,1052.6315789473686,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G53,113,210.5263157894737,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G54,116,1052.6315789473686,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
