gen_id,bus,p_max,p_min,q_max,q_min,H_g,R_g,K_droop,r_gov_max,cost_p_a,cost_p_b,cost_p_c,cost_r
G40b,89,318.5,0.0,150.0,-105.0,3.5,0.05,127.4,31.85,0.0,24.605102000000002,0.0,0.0
G41,90,0.0,0.0,300.0,-300.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G42,91,0.0,0.0,100.0,-100.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G43,92,0.0,0.0,9.0,-3.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G44,99,0.0,0.0,100.0,-100.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G45a,100,326.5,0.0,77.5,-25.0,3.5,0.05,130.6,32.65,0.0,12.61217,0.0,0.0
G45b,100,326.5,0.0,77.5,-25.0,3.5,0.05,130.6,32.65,0.0,12.61217,0.0,0.0
G46,103,108.0,0.0,40.0,-15.0,3.5,0.05,43.2,10.8,0.0,28.649471,0.0,0.0
G47,104,0.0,0.0,23.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G48,105,0.0,0.0,23.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G49,107,0.0,0.0,200.0,-200.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G50,110,0.0,0.0,23.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G51,111,79.0,0.0,40.0,-40.0,3.5,0.05,31.6,7.9,0.0,35.043401,0.0,0.0
G52,112,0.0,0.0,1000.0,-100.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G53,113,0.0,0.0,200.0,-100.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G54,116,0.0,0.0,1000.0,-1000.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
