ibr_id,bus,type,S_rated_MVA,p_max,p_min,q_max,q_min,in_fr_set,fr_mode,hvirt_max,tau_resp,delivery_time,sustain_time,energy_available,cost_p_a,cost_p_b,cost_p_c,cost_r,penetration_level,replaces_sg
IBR_G62c,263,GFM,605.6140350877193,575.3333333333334,0,290.69473684210527,-290.69473684210527,True,VSG,7.0,0.1,0.1,10,0.25233918128654975,0,23.807939200000003,0,10.0,31,G62c
IBR_G46,247,GFL,597.8947368421053,568.0,0,286.98947368421057,-286.98947368421057,True,droop,0.0,0.1,0.1,10,0.24912280701754386,0,30.6199024,0,10.0,31,G46
IBR_G60,261,GFM,597.8947368421053,568.0,0,286.98947368421057,-286.98947368421057,True,VSG,7.0,0.1,0.1,10,0.24912280701754386,0,21.206312,0,10.0,31,G60
IBR_G43a,220,GFL,593.1578947368421,563.5,0,284.7157894736842,-284.7157894736842,True,droop,0.0,0.1,0.1,10,0.24714912280701753,0,31.251776800000002,0,10.0,31,G43a
IBR_G43b,220,GFM,593.1578947368421,563.5,0,284.7157894736842,-284.7157894736842,True,VSG,7.0,0.1,0.1,10,0.24714912280701753,0,31.251776800000002,0,10.0,31,G43b
IBR_G35,200,GFL,583.1578947368421,554.0,0,279.9157894736842,-279.9157894736842,True,droop,0.0,0.1,0.1,10,0.24298245614035086,0,25.1496248,0,10.0,50,G35
IBR_G53,254,GFM,571.578947368421,543.0,0,274.35789473684207,-274.35789473684207,True,VSG,7.0,0.1,0.1,10,0.23815789473684207,0,23.993612,0,10.0,50,G53
IBR_G29a,166,GFL,569.8245614035088,541.3333333333334,0,273.5157894736842,-273.5157894736842,True,droop,0.0,0.1,0.1,10,0.23742690058479532,0,21.8228304,0,10.0,50,G29a
IBR_G29b,166,GFM,569.8245614035088,541.3333333333334,0,273.5157894736842,-273.5157894736842,True,VSG,7.0,0.1,0.1,10,0.23742690058479532,0,21.8228304,0,10.0,50,G29b
IBR_G29c,166,GFL,569.8245614035088,541.3333333333334,0,273.5157894736842,-273.5157894736842,True,droop,0.0,0.1,0.1,10,0.23742690058479532,0,21.8228304,0,10.0,50,G29c
IBR_G31a,170,GFM,563.1578947368421,535.0,0,270.31578947368416,-270.31578947368416,True,VSG,7.0,0.1,0.1,10,0.23464912280701752,0,19.250124,0,10.0,50,G31a
IBR_G31b,170,GFL,563.1578947368421,535.0,0,270.31578947368416,-270.31578947368416,True,droop,0.0,0.1,0.1,10,0.23464912280701752,0,19.250124,0,10.0,50,G31b
IBR_G31c,170,GFM,563.1578947368421,535.0,0,270.31578947368416,-270.31578947368416,True,VSG,7.0,0.1,0.1,10,0.23464912280701752,0,19.250124,0,10.0,50,G31c
IBR_G31d,170,GFL,563.1578947368421,535.0,0,270.31578947368416,-270.31578947368416,True,droop,0.0,0.1,0.1,10,0.23464912280701752,0,19.250124,0,10.0,50,G31d
IBR_G36,201,GFM,550.5263157894738,523.0,0,264.2526315789474,-264.2526315789474,True,VSG,7.0,0.1,0.1,10,0.2293859649122807,0,40.6742952,0,10.0,50,G36
IBR_G30,169,GFL,542.1052631578948,515.0,0,260.2105263157895,-260.2105263157895,True,droop,0.0,0.1,0.1,10,0.22587719298245618,0,39.324568,0,10.0,50,G30
IBR_G11a,98,GFM,537.1052631578948,510.25,0,257.8105263157895,-257.8105263157895,True,VSG,7.0,0.1,0.1,10,0.22379385964912282,0,6.159126400000001,0,10.0,50,G11a
IBR_G11b,98,GFL,537.1052631578948,510.25,0,257.8105263157895,-257.8105263157895,True,droop,0.0,0.1,0.1,10,0.22379385964912282,0,6.159126400000001,0,10.0,50,G11b
IBR_G11c,98,GFM,537.1052631578948,510.25,0,257.8105263157895,-257.8105263157895,True,VSG,7.0,0.1,0.1,10,0.22379385964912282,0,6.159126400000001,0,10.0,75,G11c
IBR_G11d,98,GFL,537.1052631578948,510.25,0,257.8105263157895,-257.8105263157895,True,droop,0.0,0.1,0.1,10,0.22379385964912282,0,6.159126400000001,0,10.0,75,G11d
IBR_G63a,264,GFM,532.8947368421053,506.25,0,255.78947368421055,-255.78947368421055,True,VSG,7.0,0.1,0.1,10,0.22203947368421054,0,28.943244,0,10.0,75,G63a
IBR_G63b,264,GFL,532.8947368421053,506.25,0,255.78947368421055,-255.78947368421055,True,droop,0.0,0.1,0.1,10,0.22203947368421054,0,28.943244,0,10.0,75,G63b
IBR_G63c,264,GFM,532.8947368421053,506.25,0,255.78947368421055,-255.78947368421055,True,VSG,7.0,0.1,0.1,10,0.22203947368421054,0,28.943244,0,10.0,75,G63c
IBR_G63d,264,GFL,532.8947368421053,506.25,0,255.78947368421055,-255.78947368421055,True,droop,0.0,0.1,0.1,10,0.22203947368421054,0,28.943244,0,10.0,75,G63d
IBR_G51,252,GFM,515.7894736842105,490.0,0,247.57894736842104,-247.57894736842104,True,VSG,7.0,0.1,0.1,10,0.21491228070175436,0,28.101320800000003,0,10.0,75,G51
IBR_G6a,69,GFL,508.07017543859655,482.6666666666667,0,243.87368421052633,-243.87368421052633,True,droop,0.0,0.1,0.1,10,0.21169590643274855,0,17.927868,0,10.0,75,G6a
IBR_G6b,69,GFM,508.07017543859655,482.6666666666667,0,243.87368421052633,-243.87368421052633,True,VSG,7.0,0.1,0.1,10,0.21169590643274855,0,17.927868,0,10.0,75,G6b
IBR_G6c,69,GFL,508.07017543859655,482.6666666666667,0,243.87368421052633,-243.87368421052633,True,droop,0.0,0.1,0.1,10,0.21169590643274855,0,17.927868,0,10.0,75,G6c
IBR_G48a,249,GFM,491.5789473684211,467.0,0,235.95789473684212,-235.95789473684212,True,VSG,7.0,0.1,0.1,10,0.2048245614035088,0,6.0079672,0,10.0,75,G48a
IBR_G48b,249,GFL,491.5789473684211,467.0,0,235.95789473684212,-235.95789473684212,True,droop,0.0,0.1,0.1,10,0.2048245614035088,0,6.0079672,0,10.0,75,G48b
IBR_G48c,249,GFM,491.5789473684211,467.0,0,235.95789473684212,-235.95789473684212,True,VSG,7.0,0.1,0.1,10,0.2048245614035088,0,6.0079672,0,10.0,75,G48c
IBR_G34,199,GFL,484.2105263157895,460.0,0,232.42105263157893,-232.42105263157893,True,droop,0.0,0.1,0.1,10,0.2017543859649123,0,17.033331999999998,0,10.0,75,G34
IBR_G38,209,GFM,482.10526315789474,458.0,0,231.41052631578947,-231.41052631578947,True,VSG,7.0,0.1,0.1,10,0.20087719298245613,0,31.8628576,0,10.0,75,G38
IBR_G40a,215,GFL,463.68421052631584,440.5,0,222.5684210526316,-222.5684210526316,True,droop,0.0,0.1,0.1,10,0.19320175438596493,0,26.0970128,0,10.0,75,G40a
IBR_G40b,215,GFM,463.68421052631584,440.5,0,222.5684210526316,-222.5684210526316,True,VSG,7.0,0.1,0.1,10,0.19320175438596493,0,26.0970128,0,10.0,75,G40b
IBR_G37,206,GFL,458.94736842105266,436.0,0,220.29473684210527,-220.29473684210527,True,droop,0.0,0.1,0.1,10,0.1912280701754386,0,22.408368,0,10.0,75,G37
IBR_G32,177,GFM,452.63157894736844,430.0,0,217.26315789473685,-217.26315789473685,True,VSG,7.0,0.1,0.1,10,0.18859649122807018,0,24.8133312,0,10.0,75,G32
