cont_id,cont_type,lost_unit_id,unit_type,valid_from
C_G51,unit_trip,G51,SG,base
C_G52,unit_trip,G52,SG,base
C_G53,unit_trip,G53,SG,base
C_G54,unit_trip,G54,SG,base
C_G55,unit_trip,G55,SG,base
C_G56a,unit_trip,G56a,SG,base
C_G56b,unit_trip,G56b,SG,base
C_G57,unit_trip,G57,SG,base
C_G58,unit_trip,G58,SG,base
C_G59a,unit_trip,G59a,SG,base
C_G59b,unit_trip,G59b,SG,base
C_G59c,unit_trip,G59c,SG,base
C_G60,unit_trip,G60,SG,base
C_G61,unit_trip,G61,SG,base
C_G62a,unit_trip,G62a,SG,base
C_G62b,unit_trip,G62b,SG,base
C_G62c,unit_trip,G62c,SG,base
C_G63a,unit_trip,G63a,SG,base
C_G63b,unit_trip,G63b,SG,base
C_G63c,unit_trip,G63c,SG,base
C_G63d,unit_trip,G63d,SG,base
C_G64,unit_trip,G64,SG,base
C_G68,unit_trip,G68,SG,base
C_G69,unit_trip,G69,SG,base
C_IBR_G50,unit_trip,IBR_G50,IBR,31
C_IBR_G64,unit_trip,IBR_G64,IBR,31
C_IBR_G42,unit_trip,IBR_G42,IBR,31
C_IBR_G28a,unit_trip,IBR_G28a,IBR,31
C_IBR_G28b,unit_trip,IBR_G28b,IBR,31
C_IBR_G28c,unit_trip,IBR_G28c,IBR,31
C_IBR_G28d,unit_trip,IBR_G28d,IBR,31
C_IBR_G20,unit_trip,IBR_G20,IBR,31
C_IBR_G59a,unit_trip,IBR_G59a,IBR,31
C_IBR_G59b,unit_trip,IBR_G59b,IBR,31
C_IBR_G59c,unit_trip,IBR_G59c,IBR,31
C_IBR_G54,unit_trip,IBR_G54,IBR,31
C_IBR_G62a,unit_trip,IBR_G62a,IBR,31
C_IBR_G62b,unit_trip,IBR_G62b,IBR,31
C_IBR_G62c,unit_trip,IBR_G62c,IBR,31
C_IBR_G46,unit_trip,IBR_G46,IBR,31
C_IBR_G60,unit_trip,IBR_G60,IBR,31
C_IBR_G43a,unit_trip,IBR_G43a,IBR,31
C_IBR_G43b,unit_trip,IBR_G43b,IBR,31
C_IBR_G35,unit_trip,IBR_G35,IBR,50
C_IBR_G53,unit_trip,IBR_G53,IBR,50
C_IBR_G29a,unit_trip,IBR_G29a,IBR,50
C_IBR_G29b,unit_trip,IBR_G29b,IBR,50
C_IBR_G29c,unit_trip,IBR_G29c,IBR,50
C_IBR_G31a,unit_trip,IBR_G31a,IBR,50
C_IBR_G31b,unit_trip,IBR_G31b,IBR,50
C_IBR_G31c,unit_trip,IBR_G31c,IBR,50
C_IBR_G31d,unit_trip,IBR_G31d,IBR,50
C_IBR_G36,unit_trip,IBR_G36,IBR,50
C_IBR_G30,unit_trip,IBR_G30,IBR,50
C_IBR_G11a,unit_trip,IBR_G11a,IBR,50
C_IBR_G11b,unit_trip,IBR_G11b,IBR,50
C_IBR_G11c,unit_trip,IBR_G11c,IBR,75
C_IBR_G11d,unit_trip,IBR_G11d,IBR,75
C_IBR_G63a,unit_trip,IBR_G63a,IBR,75
C_IBR_G63b,unit_trip,IBR_G63b,IBR,75
C_IBR_G63c,unit_trip,IBR_G63c,IBR,75
C_IBR_G63d,unit_trip,IBR_G63d,IBR,75
C_IBR_G51,unit_trip,IBR_G51,IBR,75
C_IBR_G6a,unit_trip,IBR_G6a,IBR,75
C_IBR_G6b,unit_trip,IBR_G6b,IBR,75
C_IBR_G6c,unit_trip,IBR_G6c,IBR,75
C_IBR_G48a,unit_trip,IBR_G48a,IBR,75
C_IBR_G48b,unit_trip,IBR_G48b,IBR,75
C_IBR_G48c,unit_trip,IBR_G48c,IBR,75
C_IBR_G34,unit_trip,IBR_G34,IBR,75
C_IBR_G38,unit_trip,IBR_G38,IBR,75
C_IBR_G40a,unit_trip,IBR_G40a,IBR,75
C_IBR_G40b,unit_trip,IBR_G40b,IBR,75
C_IBR_G37,unit_trip,IBR_G37,IBR,75
C_IBR_G32,unit_trip,IBR_G32,IBR,75
