gen_id,bus,p_max,p_min,q_max,q_min,H_g,R_g,K_droop,r_gov_max,cost_p_a,cost_p_b,cost_p_c,cost_r
G41,217,267.0,0.0,134.0,-134.0,3.5,0.05,106.80000000000001,26.700000000000003,0.0,39.657688,0.0,0.0
G42,218,621.0,0.0,311.0,-311.0,3.5,0.05,248.4,62.1,0.0,41.223312,0.0,0.0
G43a,220,563.5,0.0,282.0,-282.0,3.5,0.05,225.4,56.35,0.0,39.064721,0.0,0.0
G43b,220,563.5,0.0,282.0,-282.0,3.5,0.05,225.4,56.35,0.0,39.064721,0.0,0.0
G44,221,212.0,0.0,100.0,40.0,3.5,0.05,84.80000000000001,21.200000000000003,0.0,116.939409,0.0,0.0
G45,222,342.0,0.0,80.0,40.0,3.5,0.05,136.8,34.2,0.0,34.336562,0.0,0.0
G46,247,568.0,0.0,210.0,-210.0,3.5,0.05,227.20000000000002,56.800000000000004,0.0,38.274878,0.0,0.0
G47a,248,335.0,0.0,140.0,-140.0,3.5,0.05,134.0,33.5,0.0,23.466762,0.0,0.0
G47b,248,335.0,0.0,140.0,-140.0,3.5,0.05,134.0,33.5,0.0,23.466762,0.0,0.0
G48a,249,467.0,0.0,140.0,-140.0,3.5,0.05,186.8,46.7,0.0,7.509959,0.0,0.0
G48b,249,467.0,0.0,140.0,-140.0,3.5,0.05,186.8,46.7,0.0,7.509959,0.0,0.0
G48c,249,467.0,0.0,140.0,-140.0,3.5,0.05,186.8,46.7,0.0,7.509959,0.0,0.0
G49a,250,334.0,0.0,50.0,-50.0,3.5,0.05,133.6,33.4,0.0,26.682965,0.0,0.0
G49b,250,334.0,0.0,50.0,-50.0,3.5,0.05,133.6,33.4,0.0,26.682965,0.0,0.0
G50,251,626.0,0.0,224.0,-224.0,3.5,0.05,250.4,62.6,0.0,28.434868,0.0,0.0
G51,252,490.0,0.0,245.0,0.0,3.5,0.05,196.0,49.0,0.0,35.126651,0.0,0.0
G52,253,220.0,0.0,110.0,0.0,3.5,0.05,88.0,22.0,0.0,51.062397,0.0,0.0
G53,254,543.0,0.0,224.0,-224.0,3.5,0.05,217.20000000000002,54.300000000000004,0.0,29.992015,0.0,0.0
G54,255,580.0,0.0,200.0,-200.0,3.5,0.05,232.0,58.0,0.0,103.987496,0.0,0.0
G55,256,132.0,0.0,42.0,0.0,3.5,0.05,52.800000000000004,13.200000000000001,0.0,38.825689,0.0,0.0
G56a,257,359.0,0.0,5.0,0.0,3.5,0.05,143.6,35.9,0.0,6.843072,0.0,0.0
G56b,257,359.0,0.0,5.0,0.0,3.5,0.05,143.6,35.9,0.0,6.843072,0.0,0.0
G57,258,158.0,0.0,25.0,0.0,3.5,0.05,63.2,15.8,0.0,29.772562,0.0,0.0
G58,259,334.0,0.0,90.0,-90.0,3.5,0.05,133.6,33.4,0.0,62.427103,0.0,0.0
G59a,260,585.6666666666666,0.0,50.0,-50.0,3.5,0.05,234.26666666666665,58.56666666666666,0.0,20.811515,0.0,0.0
G59b,260,585.6666666666666,0.0,50.0,-50.0,3.5,0.05,234.26666666666665,58.56666666666666,0.0,20.811515,0.0,0.0
G59c,260,585.6666666666666,0.0,50.0,-50.0,3.5,0.05,234.26666666666665,58.56666666666666,0.0,20.811515,0.0,0.0
G60,261,568.0,0.0,150.0,0.0,3.5,0.05,227.20000000000002,56.800000000000004,0.0,26.50789,0.0,0.0
G61,262,203.0,0.0,87.0,0.0,3.5,0.05,81.2,20.3,0.0,31.587517,0.0,0.0
G62a,263,575.3333333333334,0.0,200.0,-33.333333333333336,3.5,0.05,230.13333333333335,57.53333333333334,0.0,29.759924,0.0,0.0
G62b,263,575.3333333333334,0.0,200.0,-33.333333333333336,3.5,0.05,230.13333333333335,57.53333333333334,0.0,29.759924,0.0,0.0
G62c,263,575.3333333333334,0.0,200.0,-33.333333333333336,3.5,0.05,230.13333333333335,57.53333333333334,0.0,29.759924,0.0,0.0
G63a,264,506.25,0.0,81.25,-31.25,3.5,0.05,202.5,50.625,0.0,36.179055,0.0,0.0
G63b,264,506.25,0.0,81.25,-31.25,3.5,0.05,202.5,50.625,0.0,36.179055,0.0,0.0
G63c,264,506.25,0.0,81.25,-31.25,3.5,0.05,202.5,50.625,0.0,36.179055,0.0,0.0
G63d,264,506.25,0.0,81.25,-31.25,3.5,0.05,202.5,50.625,0.0,36.179055,0.0,0.0
G64,265,624.0,0.0,300.0,-200.0,3.5,0.05,249.60000000000002,62.400000000000006,0.0,36.908367,0.0,0.0
G68,295,84.0,0.0,38.0,-38.0,3.5,0.05,33.6,8.4,0.0,32.961473,0.0,0.0
G69,296,37.0,0.0,6.0,-6.0,3.5,0.05,14.8,3.7,0.0,94.758209,0.0,0.0
