gen_id,bus,Sn_MVA,H_s,D_pu,R_s,X_d,X_q,X_d_prime,X_q_prime,X_d_pp,X_q_pp,T_d0_prime,T_q0_prime,T_d0_pp,T_q0_pp,X_l,S_10,S_12,avr_Ka,avr_Ta,avr_Tb,gov_R,gov_T1,gov_T2,gov_T3,gov_Dt
G11d,98,537.1052631578948,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G12,103,337.89473684210526,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G15,120,312.63157894736844,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G16a,122,421.0526315789474,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G16b,122,421.0526315789474,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G17,125,95.78947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G18,126,336.8421052631579,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G19,128,291.57894736842104,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G20,131,637.8947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G21,132,254.73684210526318,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G23,149,347.3684210526316,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G25,155,292.63157894736844,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G26,156,131.57894736842107,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G27,164,263.15789473684214,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G28a,165,648.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G28b,165,648.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G28c,165,648.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G28d,165,648.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G29a,166,569.8245614035088,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G29b,166,569.8245614035088,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G29c,166,569.8245614035088,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G30,169,542.1052631578948,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G31a,170,563.1578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G31b,170,563.1578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G31c,170,563.1578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G31d,170,563.1578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G32,177,452.63157894736844,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G33,192,303.15789473684214,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G34,199,484.2105263157895,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G35,200,583.1578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G36,201,550.5263157894738,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G37,206,458.94736842105266,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G38,209,482.10526315789474,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G39,212,358.94736842105266,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G40a,215,463.68421052631584,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G40b,215,463.68421052631584,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G41,217,281.0526315789474,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G42,218,653.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G43a,220,593.1578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G43b,220,593.1578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G44,221,223.1578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G45,222,360.0,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G46,247,597.8947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G47a,248,352.63157894736844,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G47b,248,352.63157894736844,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G48a,249,491.5789473684211,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G48b,249,491.5789473684211,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G48c,249,491.5789473684211,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G49a,250,351.57894736842104,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G49b,250,351.57894736842104,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G50,251,658.9473684210527,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G51,252,515.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G52,253,231.57894736842107,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G53,254,571.578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G54,255,610.5263157894738,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G55,256,138.94736842105263,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G56a,257,377.89473684210526,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G56b,257,377.89473684210526,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G57,258,166.31578947368422,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G58,259,351.57894736842104,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G59a,260,616.4912280701755,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G59b,260,616.4912280701755,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G59c,260,616.4912280701755,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G60,261,597.8947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G61,262,213.6842105263158,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G62a,263,605.6140350877193,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G62b,263,605.6140350877193,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G62c,263,605.6140350877193,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G63a,264,532.8947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G63b,264,532.8947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G63c,264,532.8947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G63d,264,532.8947368421053,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G64,265,656.8421052631579,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G68,295,88.42105263157895,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G69,296,38.94736842105263,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
